지역 / 제조사,식품명,식품대분류,식품상세분류,Sector,cleanMenu,TYPE
도미노피자,글램핑 바비큐(오리지널 L),빵류,피자류,피자,글램핑 바비큐,
도미노피자,글램핑 바비큐 더블치즈엣지(오리지널 M),빵류,피자류,피자,글램핑 바비큐 더블치즈엣지,
도미노피자,더블크러스트 이베리코(더블 크러스트 L),빵류,피자류,피자,더블크러스트 이베리코,
도미노피자,리얼불고기(오리지널 L),빵류,피자류,피자,리얼불고기,
도미노피자,리얼불고기 더블치즈엣지(오리지널 L),빵류,피자류,피자,리얼불고기 더블치즈엣지,
도미노피자,문어밤 슈림프(오리지널 L),빵류,피자류,피자,문어밤 슈림프,
도미노피자,문어밤 슈림프 더블치즈엣지(오리지널 L),빵류,피자류,피자,문어밤 슈림프 더블치즈엣지,
도미노피자,베스트 콰트로(오리지널 L),빵류,피자류,피자,베스트 콰트로,
도미노피자,베스트 콰트로 더블치즈엣지(오리지널 L),빵류,피자류,피자,베스트 콰트로 더블치즈엣지,
도미노피자,베이컨체더치즈(오리지널 L),빵류,피자류,피자,베이컨체더치즈,
도미노피자,베이컨체더치즈 더블치즈엣지(오리지널 L),빵류,피자류,피자,베이컨체더치즈 더블치즈엣지,
도미노피자,불고기(오리지널 L),빵류,피자류,피자,불고기,
도미노피자,불고기 더블치즈엣지(오리지널 L),빵류,피자류,피자,불고기 더블치즈엣지,
도미노피자,블랙앵거스 스테이크(오리지널 L),빵류,피자류,피자,블랙앵거스 스테이크,
도미노피자,블랙앵거스 스테이크 더블치즈엣지(오리지널 L),빵류,피자류,피자,블랙앵거스 스테이크 더블치즈엣지,
도미노피자,블랙타이거 슈림프(오리지널 L),빵류,피자류,피자,블랙타이거 슈림프,
도미노피자,블랙타이거 슈림프 더블치즈엣지(오리지널 L),빵류,피자류,피자,블랙타이거 슈림프 더블치즈엣지,
도미노피자,블랙타이거슈림프(슈퍼시드 함유 도우M),빵류,피자류,피자,블랙타이거슈림프,
도미노피자,블랙타이거슈림프 더블치즈엣지(오리지널 M),빵류,피자류,피자,블랙타이거슈림프 더블치즈엣지,
도미노피자,슈퍼디럭스(오리지널 L),빵류,피자류,피자,슈퍼디럭스,
도미노피자,슈퍼디럭스 더블치즈엣지(오리지널 L),빵류,피자류,피자,슈퍼디럭스 더블치즈엣지,
도미노피자,슈퍼슈프림(오리지널 L),빵류,피자류,피자,슈퍼슈프림,
도미노피자,슈퍼슈프림 더블치즈엣지(오리지널 L),빵류,피자류,피자,슈퍼슈프림 더블치즈엣지,
도미노피자,와규 앤 비스테카(오리지널 L),빵류,피자류,피자,와규 앤 비스테카,
